source,target,weigth
"Brandes, Georg",Helios,1
"Breen, M.",Lectura Amena,1
"Bremón, Leopoldo",Gente Vieja,6
"Brenes Mesén, Roberto",El Nuevo Mercurio,1
"Brenes Mesén, Roberto",Revista Azul,1
"Brescia, Domenico",Instantáneas,1
"Bretón, T.",Gente Vieja,2
"Bretón, Tomás",Alma Española,1
"Briand, Aristide",Trofeos,1
"Briceño, Antonio S.",Instantáneas,1
"Briceño, Antonio S.",La Vida Literaria,1
"Briceño, Manuel",La Gruta,1
"Briceño, Manuel",Trofeos,1
"Brisay, Henry de",Revista Moderna. (Enciclopedia colombiana),2
"Brooks, Adam",Alpha,1
"Brulat, Paul",El Nuevo Mercurio,1
"Bryant, William Cullen",Gente Vieja,2
"Bryant, William Cullen",Revista Azul,2
"Buen, Demófilo de",Arte Joven,1
"Buenafé, F.",Luz i Sombra,3
"Bueno, Manuel",Alma Española,4
"Bueno, Manuel",Gente Vieja,1
"Bueno, Manuel",La Vida Literaria,1
"Bueno, Manuel",Revista Contemporánea,1
"Bueno, Manuel",Revista Nueva Spain,2
"Bueno, Manuel",Vida Nueva,2
Bull Mich,Luz i Sombra,1
"Bull, John",Instantáneas,13
"Bulloes, Francisco",Vida Nueva,1
"Burell, Julio",Alma Española,1
"Burell, Julio",Germinal,2
"Burgos, Javier de",Gente Vieja,2
"Burns, Robert",Revista Literaria. Publicación Mensual,1
"Bustillo, Eduardo",Gente Vieja,1
"Bustillos, José María",Revista Azul,7
"Buxadé, José",Gente Vieja,1
"Byrne, Bonifacio",Revista Azul,6
"Byron, George Gordon",Germinal,1
"Byron, George Gordon",Revista Azul,1
"Bécquer, Gustavo Adolfo",Gente Vieja,1
"Bécquer, Gustavo Adolfo",Germinal,1
"Bécquer, Gustavo Adolfo",Panida,1
"Bélot, Adolphe",Revista Azul,1
"Béranger, Pierre-Jean de",Revista Azul,3
"Béraud, Jean",Germinal,1
"Bórquez Solar, Antonio",Luz i Sombra,11
"Böhl de Faber y Ruiz de Larrea, Cecilia",Revista Literaria. Publicación Mensual,1
C.,Arte Joven,1
C.,La Vida Literaria,2
C.,Luz,1
C.,Vida Nueva,1
C. S. V.,Instantáneas,2
"C. y B., F.",Vida Nueva,1
"Caamaño, Brígida M.",Vida Nueva,1
"Caballero, Lucas",CULTURA,1
"Caballero, Manuel",Revista Azul,2
"Cabello de Carbonera, Mercedes",Revista Literaria. Publicación Mensual,2
"Cabiedes, J.",Gente Vieja,1
"Cabrera y Cantó, Fernando",Germinal,1
"Cabrera, Raimundo",La Habana Literaria,3
"Cacho, José del",Germinal,1
"Cadenas, José Juan",Germinal,7
"Cadenas, José Juan",La Vida Literaria,1
"Cadenas, José Juan",Lectura Amena,1
"Cadenas, José Juan",Vida Nueva,2
Cagliostro,Gente Vieja,47
"Caicedo Rojas, José",Revista Literaria. Publicación Mensual,4
"Caicedo Rojas, José",Revista Moderna. (Enciclopedia colombiana),1
"Cala, Ramón de",Gente Vieja,1
"Calandrelli, Matías",La Bibliotéca,1
"Calatraveño y Valladares, Fernando",Vida Nueva,1
"Calatraveño, Fernando",Alma Española,1
"Calcaño, Eduardo",Revista Azul,1
"Calcaño, Eduardo",Revista Literaria. Publicación Mensual,1
"Calcaño, José Antonio",Revista Azul,1
"Calcaño, José Antonio",Revista Literaria. Publicación Mensual,3
"Calcaño, Julio",Revista Literaria. Publicación Mensual,4
"Calcáneo, Andrés J.",Revista Azul,1
"Calderai, Doctor",Germinal,1
Calderouse,Luz i Sombra,1
"Calderón de la Barca, Pedro",El Repertorio. Revista Mensual Ilustrada,1
"Calderón de la Barca, Pedro",Gente Vieja,1
"Calderón y Arana, Alfredo",Germinal,1
"Calderón, Luis Eduardo",La Gruta,1
"Calleja y Sánchez, Julián",Gente Vieja,1
"Calpena y Ávila, Luis",Alma Española,1
"Calvo Revilla, Luis",Gente Vieja,1
"Calvo Rodríguez, Carmelo",Gente Vieja,13
"Calvo, Ricardo",La Vida Literaria,1
"Calzada, Rafael",Gente Vieja,1
"Calzado, Adolfo",Gente Vieja,1
Camacho,Alma Española,9
"Camacho Roldán, Salvador",Revista Literaria. Publicación Mensual,1
