Source,Target,Type,Id,Label,Weight
Gente Vieja,"Batlle y Ordóñez, José",Directed,4155,,1
La Vida Literaria,"Batlle, Carlos de",Directed,4156,,1
Instantáneas,"Bauda, A.",Directed,4157,,2
Revista Azul,"Baudelaire, Charles",Directed,4158,,8
La Bibliotéca,"Bautista  Castro, Juan",Directed,4159,,1
La Bibliotéca,"Bayaba, Elías",Directed,4160,,1
Alpha,"Bayona Posada, Jorge",Directed,4161,,1
La Gruta,"Bayona Posada, Jorge",Directed,4162,,1
Panida,"Bayona Posada, Jorge",Directed,4163,,1
El Nuevo Mercurio,"Bazin, René",Directed,4164,,1
Trofeos,"Beaunier, André",Directed,4165,,1
Germinal,"Bebel, August",Directed,4166,,1
La Bibliotéca,"Beccar Varela, Horacio",Directed,4167,,1
Revista Moderna. (Enciclopedia colombiana),"Becerra, Ricardo",Directed,4168,,1
El Nuevo Mercurio,"Becon, Juan de",Directed,4169,,1
Helios,"Becque, Henry",Directed,4170,,1
Lectura Amena,"Bedout, C. de",Directed,4171,,1
Revista Azul,"Beker, Abu",Directed,4172,,3
La Bohemia Alegre,"Bel, León",Directed,4173,,3
Germinal,Belenguer,Directed,4174,,1
Revista Moderna. (Enciclopedia colombiana),"Bellaigue, Camile",Directed,4175,,1
Revista Azul,"Bellaigue, Camille",Directed,4176,,1
Luz,"Bellery-Desfontaines, Henri",Directed,4177,,1
Trofeos,"Bello, Andrés",Directed,4178,,1
Alma Española,"Bello, Luis",Directed,4179,,1
Arte Joven,"Bellver, Alfredo",Directed,4180,,1
Revista Nueva Spain,"Belmonte, María del",Directed,4181,,1
La Bibliotéca,"Beláustegui, Luis",Directed,4182,,1
Alma Española,"Benavente, Jacinto",Directed,4183,,1
Alpha,"Benavente, Jacinto",Directed,4184,,1
El Nuevo Mercurio,"Benavente, Jacinto",Directed,4185,,1
Gente Vieja,"Benavente, Jacinto",Directed,4186,,1
Germinal,"Benavente, Jacinto",Directed,4187,,10
Helios,"Benavente, Jacinto",Directed,4188,,4
La Vida Literaria,"Benavente, Jacinto",Directed,4189,,3
Panida,"Benavente, Jacinto",Directed,4190,,2
Renacimiento,"Benavente, Jacinto",Directed,4191,,2
Revista Nueva Spain,"Benavente, Jacinto",Directed,4192,,5
Germinal,"Benedito, Manuel",Directed,4193,,1
Luz i Sombra,"Bengoa, José María",Directed,4194,,3
Revista Contemporánea,"Bengoechea, Alfredo de",Directed,4195,,1
Germinal,"Benlliure, Manuel",Directed,4196,,1
Alma Española,"Benlliure, Mariano",Directed,4197,,2
Gente Vieja,"Benlliure, Mariano",Directed,4198,,1
Alma Española,"Benot, Eduardo",Directed,4199,,1
Gente Vieja,"Benot, Eduardo",Directed,4200,,1
Germinal,"Benot, Eduardo",Directed,4201,,1
Gente Vieja,"Benítez, Cecilio",Directed,4202,,1
Luz,"Berchtold, Josef",Directed,4203,,1
Revista Azul,"Bergerat, Émile",Directed,4204,,1
La Bibliotéca,"Berisso, Luis",Directed,4205,,1
Revista Azul,Berlioz,Directed,4206,,1
Germinal,"Bermúdez de Castro, Salvador",Directed,4207,,1
Lectura Amena,"Bernal, Luis",Directed,4208,,1
Alma Española,"Bernaldo de Quirós, Constancio",Directed,4209,,3
Revista Azul,"Bernard, Tristán",Directed,4210,,1
La Vida Literaria,"Bernewitz, Carl Hans",Directed,4211,,1
El Repertorio. Revista Mensual Ilustrada,"Berrío París, Julio",Directed,4212,,1
Revista Literaria. Publicación Mensual,"Berthoud, Eugène",Directed,4213,,1
Germinal,"Berthélot, Marcellin",Directed,4214,,1
Germinal,"Bertòla De' Giorgi, Aurelio",Directed,4215,,1
