Source,Target,Type,Id,Label,Weight,n
CULTURA,"Martínez Ruiz, José",Directed,667,,1,1
Panida,"Martínez Ruiz, José",Directed,668,,3,3
Revista Moderna. (Enciclopedia colombiana),"Martínez Ruiz, José",Directed,669,,1,1
Alpha,"Martínez Sierra, Gregorio",Directed,670,,2,2
Lectura Amena,"Martínez Sierra, Gregorio",Directed,671,,2,2
Lectura y Arte,"Martínez Sierra, Gregorio",Directed,672,,2,2
Revista Contemporánea,"Martínez Sierra, Gregorio",Directed,673,,2,2
Revista Literaria. Publicación Mensual,"Martínez Silva, Carlos",Directed,674,,1,1
Revista Literaria. Publicación Mensual,"Martínez Villergas, Juan",Directed,675,,1,1
Revista Literaria. Publicación Mensual,"Martínez, Antonio R.",Directed,676,,1,1
El Repertorio. Revista Mensual Ilustrada,"Martínez, Miguel",Directed,677,,1,1
Revista Contemporánea,"Martón é Izaguirre, J.",Directed,678,,1,1
Alpha,"Marín, Abel",Directed,679,,3,3
Lectura Amena,"Marín, Abel",Directed,680,,11,11
CULTURA,"Mateus, Jorge",Directed,681,,1,1
Revista Moderna. (Enciclopedia colombiana),"Matos Hurtado, Belisario",Directed,682,,1,1
Trofeos,"Matos Hurtado, Belisario",Directed,683,,1,1
Lectura Amena,"Maupassant, Guy de",Directed,684,,2,2
Lectura y Arte,"Maupassant, Guy de",Directed,685,,1,1
Revista Literaria. Publicación Mensual,"Maupassant, Guy de",Directed,686,,1,1
Revista Moderna. (Enciclopedia colombiana),"May, Dick",Directed,687,,1,1
La Gruta,"Maya, Juan Antonio",Directed,688,,1,1
Lectura Amena,"Maya, Juan Antonio",Directed,689,,1,1
El Montañés,"Maya, Juan F.",Directed,690,,1,1
Revista Literaria. Publicación Mensual,"Mayorga Rivas, Román",Directed,691,,1,1
Alpha,"Medina, Vicente",Directed,692,,4,4
Lectura Amena,"Medina, Vicente",Directed,693,,1,1
Panida,"Mejía Arango, Félix",Directed,694,,14,14
La Bohemia Alegre,"Mejía V., Sebastián",Directed,695,,1,1
Alpha,"Mejía Ángel, Gustavo",Directed,696,,1,1
Panida,"Mejía Ángel, Gustavo",Directed,697,,1,1
El Repertorio. Revista Mensual Ilustrada,"Mejía, Epifanio",Directed,698,,1,1
La Bohemia Alegre,"Mejía, Epifanio",Directed,699,,2,2
Lectura Amena,"Mejía, Epifanio",Directed,700,,1,1
Revista Literaria. Publicación Mensual,"Mejía, Epifanio",Directed,701,,1,1
La Bohemia Alegre,"Mejía, Gabriel",Directed,702,,1,1
Revista Literaria. Publicación Mensual,"Mendive y Daumy, Rafael María de",Directed,703,,1,1
CULTURA,"Mendoza, Diego",Directed,704,,2,2
La Gruta,"Mendoza, Diego",Directed,705,,2,2
Revista Moderna. (Enciclopedia colombiana),"Mendoza, Diego",Directed,706,,3,3
El Repertorio. Revista Mensual Ilustrada,"Mendès, Catulle",Directed,707,,1,1
La Gruta,"Mendès, Catulle",Directed,708,,1,1
Lectura Amena,"Mendès, Catulle",Directed,709,,2,2
Lectura Amena,"Mercado, Julio",Directed,710,,1,1
Revista Literaria. Publicación Mensual,"Merchán, Rafael María",Directed,711,,5,5
Lectura y Arte,"Merezhkovski, Dmitri",Directed,712,,1,1
Alpha,"Merizalde Uribe, Antonio",Directed,713,,2,2
Lectura Amena,"Merizalde Uribe, Antonio",Directed,714,,5,5
Panida,"Merizalde Uribe, Antonio",Directed,715,,2,2
CULTURA,"Merrill, Stuart",Directed,716,,1,1
Alpha,"Mesa Jaramillo, José María",Directed,717,,1,1
CULTURA,"Mesa Nicholls, Alejandro",Directed,718,,5,5
El Montañés,"Mesa, Rafael",Directed,719,,30,30
El Repertorio. Revista Mensual Ilustrada,"Mesa, Rafael",Directed,720,,5,5
El Repertorio. Revista Mensual Ilustrada,"Meteyard, Sidney",Directed,721,,1,1
Lectura Amena,"Michaud-D'Hamiae, L.",Directed,722,,1,1
Revista Literaria. Publicación Mensual,"Michelsen Uribe, Gustavo",Directed,723,,1,1
Revista Contemporánea,"Mikhaël, Efraín",Directed,724,,1,1
Revista Literaria. Publicación Mensual,"Millican, Albert",Directed,725,,2,2
Panida,"Miró Ferrer, Gabriel",Directed,726,,1,1
Revista Contemporánea,"Mockel, Albert",Directed,727,,2,2
Trofeos,"Mockel, Albert",Directed,728,,1,1
Revista Moderna. (Enciclopedia colombiana),"Moireau, Auguste",Directed,729,,1,1
CULTURA,"Molina Garcés, Ciro",Directed,730,,14,14
Revista Literaria. Publicación Mensual,"Molina Paniagua, Modesto",Directed,731,,1,1
Lectura Amena,"Molina, Carlos A.",Directed,732,,1,1
Lectura y Arte,"Molina, Carlos A.",Directed,733,,2,2
Revista Moderna. (Enciclopedia colombiana),"Molina, Pedro Antonio",Directed,734,,1,1
Revista Literaria. Publicación Mensual,"Monasterios Velásquez, Jesús María",Directed,735,,1,1
Revista Moderna. (Enciclopedia colombiana),"Monsalve, José Dolores",Directed,736,,2,2
Lectura Amena,"Monte, D. L.",Directed,737,,1,1
La Gruta,"Montes del Valle, Agripina",Directed,738,,2,2
CULTURA,"Montoya Canal, Aníbal",Directed,739,,1,1
La Bohemia Alegre,"Montoya Kennedy, F. A.",Directed,740,,2,2
Alpha,"Montoya Pérez, Rafael",Directed,741,,2,2
Lectura Amena,"Montoya Pérez, Rafael",Directed,742,,6,6
Lectura y Arte,"Montoya Pérez, Rafael",Directed,743,,3,3
El Repertorio. Revista Mensual Ilustrada,"Montoya, Antonio José",Directed,744,,1,1
La Bohemia Alegre,"Montoya, Antonio José",Directed,745,,8,8
Lectura Amena,"Montoya, Antonio José",Directed,746,,6,6
Lectura y Arte,"Montoya, Antonio José",Directed,747,,3,3
El Montañés,"Montoya, Eladio",Directed,748,,1,1
El Montañés,"Montoya, Gabriel",Directed,749,,28,28
Alpha,"Montoya, José",Directed,750,,4,4
El Montañés,"Montoya, José",Directed,751,,6,6
Panida,"Montoya, José",Directed,752,,1,1
El Montañés,"Montoya, Mariano",Directed,753,,1,1
Panida,"Mora Vásquez, José Manuel",Directed,754,,2,2
Revista Literaria. Publicación Mensual,"Mora, Félix",Directed,755,,1,1
Revista Literaria. Publicación Mensual,"Mora, José Joaquín de",Directed,756,,1,1
La Gruta,"Mora, Luis María",Directed,757,,1,1
Revista Moderna. (Enciclopedia colombiana),"Morales Berti, Luis",Directed,758,,1,1
Alpha,"Moreno Alba, Miguel",Directed,759,,1,1
Lectura Amena,"Moreno Alba, Miguel",Directed,760,,1,1
La Gruta,"Morice, Charles",Directed,761,,1,1
Lectura Amena,"Moréas, Jean",Directed,762,,1,1
Trofeos,"Moréas, Jean",Directed,763,,1,1
CULTURA,"Mosquera, Tomás Cipriano de",Directed,764,,7,7
Revista Literaria. Publicación Mensual,"Moussy, Martín de",Directed,765,,1,1
La Gruta,"Munroo, Alick",Directed,766,,1,1
Trofeos,"Murena, Claudio",Directed,767,,1,1
La Bohemia Alegre,"Murger, Henry",Directed,768,,1,1
El Montañés,"Murillo, Bartolomé Esteban",Directed,769,,1,1
El Montañés,"Musset, Alfred de",Directed,770,,2,2
El Repertorio. Revista Mensual Ilustrada,"Muñoz Fernández, Francisco de Paula",Directed,771,,1,1
El Montañés,"Muñoz, Luis J.",Directed,772,,1,1
CULTURA,"Márquez Bravo, Tomás",Directed,773,,2,2
Panida,"Márquez Bravo, Tomás",Directed,774,,1,1
Revista Moderna. (Enciclopedia colombiana),"Márquez Cuervo, Carlos",Directed,775,,1,1
Revista Literaria. Publicación Mensual,"Méndez y Mendoza, Eugenio",Directed,776,,1,1
Revista Literaria. Publicación Mensual,"Méndez, Juan de Dios",Directed,777,,1,1
Revista Literaria. Publicación Mensual,"Nanfa, Crisógono de",Directed,778,,1,1
Trofeos,"Naranjo Martínez, Enrique",Directed,779,,4,4
Revista Moderna. (Enciclopedia colombiana),"Narváez, Antonio de",Directed,780,,3,3
Revista Literaria. Publicación Mensual,"Narváez, Roberto de",Directed,781,,1,1
Revista Moderna. (Enciclopedia colombiana),"Narváez, Roberto de",Directed,782,,4,4
El Montañés,"Nauts, Carlos",Directed,783,,2,2
Alpha,"Navas Spínola, Domingo",Directed,784,,1,1
Lectura Amena,"Negueri, D.",Directed,785,,3,3
Lectura Amena,"Nervo, Amado",Directed,786,,9,9
Trofeos,"Nervo, Amado",Directed,787,,1,1
El Repertorio. Revista Mensual Ilustrada,"Nieremberg, Juan Eusebio",Directed,788,,2,2
CULTURA,"Nieto Caballero, Agustín",Directed,789,,21,21
CULTURA,"Nieto Caballero, Luis Eduardo",Directed,790,,4,4
Alpha,"Nieto, Ricardo",Directed,791,,2,2
Lectura Amena,"Nieto, Ricardo",Directed,792,,5,5
Trofeos,"Nieto, Ricardo",Directed,793,,1,1
Lectura y Arte,"Nogales, José",Directed,794,,1,1
Revista Contemporánea,"Nordau, Max",Directed,795,,1,1
Alpha,"Novicow, F.",Directed,796,,1,1
Lectura y Arte,"Núñez, Carlos",Directed,797,,1,1
Revista Literaria. Publicación Mensual,"Núñez, Rafael",Directed,798,,2,2
Revista Literaria. Publicación Mensual,"O'Kelly, James J.",Directed,799,,1,1
