NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion,Comentarios
Trofeos,186,"Leopardi, Giacomo",Creador,NA,Italia,Pensamiento de Leopardi,9,01/05/07,Sí,"Bayo, Ciro",Español,Italiano,Prosa Ficción,NA,NA,NA,2,295-297,Transferencias: traducción
Trofeos,187,"Londoño, Víctor Manuel",Director,NA,Colombia,Deportes norteamericanos,9,01/05/07,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,3,297-300,NA
Trofeos,188,"Carducci, Giosuè",Creador,NA,Italia,El Buey,9,01/05/07,Sí,"Sams y Castelín, Enrique",Español,Italiano,Poesía,NA,NA,NA,0.5,300,transferencia: traducción
Trofeos,189,Anónimo,Creador,NA,NA,Trofeos,10/11/23,10/06/07,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,2,NA,Sumario e información de la revista
Trofeos,190,Anónimo,Ilustrador,NA,NA,NA,10/11/23,10/06/07,No,NA,NA,NA,Imagen,NA,NA,NA,0.6,301,NA
Trofeos,191,"Gómez Restrepo, Antonio",Creador,NA,Colombia,Carducci,10/11/23,10/06/07,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,07/09/23,301-309,Transferencia: comentario crítico sobre Carducci. Trae varias citas en Italiano
Trofeos,192,"Carducci, Giosuè",Creador,NA,Italia,Il Bove,10/11/23,10/06/07,No,NA,Italiano,Italiano,Poesía,NA,NA,NA,0.5,310,Transferencia: texto en el idioma original
Trofeos,193,"Carducci, Giosuè",Creador,NA,Italia,El Buey,10/11/23,10/06/07,Sí,"Caro, Miguel Antonio",Español,Italiano,Poesía,NA,NA,NA,0.5,310,Transferencias: traducción
Trofeos,194,"Carducci, Giosuè",Creador,NA,Italia,A Virgilio (Carducci),10/11/23,10/06/07,Sí,"Caro, Miguel Antonio",Español,Italiano,Poesía,NA,NA,NA,0.5,311,Transferencias: traducción
Trofeos,195,"Carducci, Giosuè",Creador,NA,Italia,Mi nave (Carducci),10/11/23,10/06/07,Sí,"Gómez Restrepo, Antonio",Español,Italiano,Poesía,NA,"Arciniegas, Ismael",NA,0.5,311,Transferencias: traducción
Trofeos,196,"Carducci, Giosuè",Creador,NA,Italia,Clasicismo y Romanticismo (Carducci),10/11/23,10/06/07,Sí,"Narváez, Roberto de",Español,Italiano,Poesía,NA,NA,NA,01/03/23,312-313,Transferencias: traducción
Trofeos,197,"Carducci, Giosuè",Creador,NA,Italia,Alborada (Carducci),10/11/23,10/06/07,Sí,"Narváez, Roberto de",Español,Italiano,Poesía,NA,NA,NA,0.7,313,Transferencias: traducción
Trofeos,198,"Sanín Cano, Baldomero",Creador,NA,Colombia,Carducci I. El poeta,10/11/23,10/06/07,No,NA,Español,NA,Prosa No ficción,NA,"Blanco Fombona, Rufino",NA,5,314-318,Transferencia: comentario crítico sobre Carducci. Trae varias citas en Italiano
Trofeos,199,"Sanín Cano, Baldomero",Creador,B. Sanín Cano,Colombia,Carducci II. El crítico,10/11/23,10/06/07,No,NA,Español,NA,Prosa No ficción,NA,"Rodó, José E.",NA,4,319-322,Transferencia: comentario crítico sobre Carducci. Trae varias citas en Italiano
Trofeos,200,"Blanco Fombona, Rufino",Creador,R.B.F.,Venezuela,Noticulas,10/11/23,10/06/07,No,NA,Español,NA,Prosa No ficción,NA,Trofeos,NA,1,323,Transferencia: correspondencia . Tengo que buscar a quién le responde
Trofeos,201,Anónimo,Creador,NA,NA,"París, 24 de marzo de 1903",10/11/23,10/06/07,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,01/06/23,324-325,"Transferencia: respuesta a la carta de Rufino B Fombona, parece, por la foma en que escribe, que es Vargas Vila. Buscar información"
Trofeos,202,"Blanco Fombona, Rufino",Creador,R. Blanco Fombona,Venezuela,2 de abril,10/11/23,10/06/07,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,0.4,325,"Transferencia: respuesta de R. Blanco Fombina, parece ser, a la carta anterior"
Trofeos,203,"Grillo, Maximiliano",Creador,Max Grillo,Colombia,A Carducci,10/11/23,10/06/07,No,NA,Español,NA,Poesía,NA,NA,NA,0.4,326,Transferencia: poema a Carducci
Trofeos,204,"Cano, Antonio José",Creador,Antonio J. Cano,Colombia,El pájaro rojo,10/11/23,10/06/07,No,NA,Español,NA,Poesía,NA,"Londoño, Víctor Manuel",NA,0.4,326,NA
Trofeos,205,"López, Ismael",Director,NA,Colombia,Confederación Hispano-Americana III,10/11/23,10/06/07,No,NA,Español,NA,Prosa No ficción,NA,"Vásquez Cobo, A (general)",NA,6,327-332,NA
Trofeos,206,"Briand, Aristide",Creador,Briand Monseur,Francia,Marcelino Berthelot,10/11/23,10/06/07,Sí,"Londoño, Víctor Manuel",Español,Francés,Prosa No ficción,NA,NA,NA,03/08/23,333-336,Transferencia: traducción
Trofeos,207,"D'Annunzio, Gabriele",Creador,NA,Francia,D'Annunzio Imperialista,10/11/23,10/06/07,Sí,"Valderrama, Felipe",Español,Francés,Prosa No ficción,NA,NA,NA,0.7,336-337,"Transferencia: comentario crítico sobre el elogio fúnebre de D'Annunxio por la muerte de Carducci. Los directores dicen ""Lo jemos leído en el Corriere de la Sera del 25 de marzo"""
Trofeos,208,"Londoño, Víctor Manuel",Director,NA,Colombia,Charles Guérin,10/11/23,10/06/07,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,1,337-338,Transferencia: comentario crítico sobre autor extranjero
Trofeos,209,"Uribe, Diego",Reseñista,NA,Colombia,Carlos A. Torres. Obra poética,10/11/23,10/06/07,No,NA,Español,NA,Reseña,NA,NA,Obra Poética de Carlos Arturo Torres,01/05/23,338-339,Transferencia: reseña y comentario crítico de libro
Trofeos,210,"Duque Uribe, Rafael",Reseñista,R. D'Oribe,NA,Antonio Fogazzaro. Il Santo- Luigi Beltrami,10/11/23,10/06/07,No,NA,Español,NA,Reseña,NA,NA,Il Santo de Antonio Fogazzaro,01/02/23,340-341,Transferencia: reseña y comentario crítico de libro
Trofeos,212,"Gomperz, Theodor",Creador,NA,Austria,Sócrates es condenado a muerte (I),10/11/23,10/06/07,Sí,Directores,Español,Alemán,Prosa Ficción,NA,NA,NA,01/05/23,341-343,Transferencia: traducción
